"date","day","category","duration","details","target_pace","target_hr","notes"
"2026-05-05","Tuesday","Quality Run","65 min total","Warm-up 15 min easy at 7:20-7:50/km, HR 135-145; drills 5 min; 2 x 10 min tempo at 5:50-5:55/km, HR 165-172, with 2 min jog at 7:30-8:00/km; cool-down 10 min easy.","Tempo 5:50-5:55/km","Main reps HR 165-172","Do not race rep 1. Finish feeling controlled."
"2026-05-06","Wednesday","Easy Run + Mobility","45 min run + 12 min mobility","Run 45 min at 7:15-7:55/km. Finish with 12 min hip, calf, quad, and ankle mobility.","7:15-7:55/km","HR 138-148","If HR rises above 150, slow down immediately."
"2026-05-07","Thursday","Upper Pull + Recovery Jog","35-45 min lift + optional 20 min jog","Pull-ups 4 x 6-8, one-arm rows 3 x 10 each side, rear-delt raises 3 x 15, curls 3 x 12, hangs 2 x 30 sec. Optional 20 min jog at 7:45-8:20/km.","Jog 7:45-8:20/km","Jog HR under 140","Skip the jog if the knee feels irritated."
"2026-05-08","Friday","Home Leg Day + Strides","35-45 min lift + 25 min run","Bulgarian split squats 3 x 8 each side, RDL 3 x 10, step-ups 3 x 10 each side, glute bridge 3 x 12, hamstring sliders 3 x 10, calf raises 3 x 18. Then 25 min easy at 7:20-7:55/km plus 4 x 20 sec strides at about 4:30-4:40/km with full walk-back.","Easy 7:20-7:55/km; strides 4:30-4:40/km","Easy HR 138-148","Leg day is moderate, not maximal."
"2026-05-09","Saturday","Run Club Long Run","80 min","80 min mostly easy at 7:05-7:40/km. Hold HR 140-150 for the first 70 min. Last 10 min can drift to 6:45-6:55/km only if HR stays 150-155 and the knee feels good.","7:05-7:40/km; last 10 min 6:45-6:55/km if controlled","HR 140-150 early, max 155 late","Do not turn the club into a race."
"2026-05-10","Sunday","Easy Run","35 min","35 min easy at 7:20-8:00/km. Finish with light quad and calf stretching.","7:20-8:00/km","HR 138-148","If Saturday felt hard, replace with 40 min walk."
"2026-05-11","Monday","Upper Push + Walk","35-45 min lift + 30 min walk","Push-ups 4 x 10-15, DB shoulder press or pike push-ups 3 x 10, bench dips 3 x 10, lateral raises 3 x 15, triceps extensions 3 x 12, plank 3 x 45 sec. Add a 30 min walk.","No run","Keep walk easy","This is a low leg-stress day."
"2026-05-12","Tuesday","Quality Run","60-65 min total","Warm-up 15 min easy, drills 5 min, 5 x 3 min at 5K effort 5:15-5:20/km with 2 min jog at 7:30-8:00/km, cool-down 12 min easy.","Reps 5:15-5:20/km","Rep HR peaks 172-180","First two reps should feel like you could do one more."
"2026-05-13","Wednesday","Easy Run + Mobility","50 min run + 12 min mobility","50 min easy at 7:15-7:55/km plus 12 min mobility.","7:15-7:55/km","HR 138-148","Stay patient if pace feels slow."
"2026-05-14","Thursday","Upper Pull + Recovery Jog","35-45 min lift + optional 25 min jog","Same pull session as last week. Optional 25 min jog at 7:45-8:20/km.","Jog 7:45-8:20/km","Jog HR under 140","Keep recovery really easy."
"2026-05-15","Friday","Home Leg Day + Easy Run","35-45 min lift + 30 min run","Leg session: split squats 3 x 8, RDL 3 x 10, step-ups 3 x 10, glute bridge 3 x 12, ham curls 3 x 10, calf raises 3 x 18. Then 30 min easy at 7:20-7:55/km.","7:20-7:55/km","HR 138-148","No strides this week; save the legs for Saturday."
"2026-05-16","Saturday","Run Club Long Run","85 min","85 min easy at 7:05-7:40/km. Keep HR 140-150 through 75 min. If all feels smooth, last 10 min at 6:40-6:50/km with HR capped at 155.","7:05-7:40/km; last 10 min 6:40-6:50/km if controlled","HR 140-150 early, max 155 late","You should finish able to jog another 5 min."
"2026-05-17","Sunday","Recovery Walk + Mobility","40 min walk + 15 min mobility","Brisk walk 40 min. Mobility 15 min focused on calves, hips, glutes, and quads.","No run","Recovery only","Take the non-running recovery day."
"2026-05-18","Monday","Upper Push + Walk","35-45 min lift + 30 min walk","Repeat upper push session. Add 1 rep per set if last week felt easy. 30 min walk after or later in the day.","No run","Keep walk easy","Progress upper body, not leg fatigue."
"2026-05-19","Tuesday","Quality Run","65 min total","Warm-up 15 min easy, drills 5 min, 3 x 8 min threshold at 5:42-5:48/km with 2 min jog, cool-down 12 min easy.","Reps 5:42-5:48/km","Main reps HR 166-173","Smooth and even; no sprint finish on reps."
"2026-05-20","Wednesday","Easy Run","45 min","45 min easy at 7:15-7:55/km.","7:15-7:55/km","HR 138-148","If the legs are heavy, stay closer to 7:45-8:00/km."
"2026-05-21","Thursday","Upper Pull + Recovery Jog","35-45 min lift + optional 20 min jog","Repeat upper pull session. Optional 20 min jog at 7:45-8:20/km.","Jog 7:45-8:20/km","Jog HR under 140","Skip jog if recovery is poor."
"2026-05-22","Friday","Home Leg Day + Strides","35-45 min lift + 25 min run","Leg session as before. Then 25 min easy at 7:20-7:55/km plus 6 x 20 sec strides at about 4:25-4:35/km with full walk-back.","Easy 7:20-7:55/km; strides 4:25-4:35/km","Easy HR 138-148","Stay relaxed on strides, not sprinting."
